REGION|AGRUPACION_CANAL|FECHA|CUOTA_CANAL
PACIFICO BAJIO|SME|2018-09-20 00:00:00|0
PACIFICO BAJIO|SME|2018-09-21 00:00:00|0
PACIFICO BAJIO|SME|2018-09-22 00:00:00|0
PACIFICO BAJIO|SME|2018-09-23 00:00:00|0
PACIFICO BAJIO|SME|2018-09-24 00:00:00|0
PACIFICO BAJIO|SME|2018-09-25 00:00:00|0
PACIFICO BAJIO|SME|2018-09-26 00:00:00|0
PACIFICO BAJIO|SME|2018-09-27 00:00:00|0
PACIFICO BAJIO|SME|2018-09-28 00:00:00|0
PACIFICO BAJIO|SME|2018-09-29 00:00:00|0
PACIFICO BAJIO|SME|2018-09-30 00:00:00|0
SUR PENINSULA|SME|2018-09-01 00:00:00|0
SUR PENINSULA|SME|2018-09-02 00:00:00|0
SUR PENINSULA|SME|2018-09-03 00:00:00|0
SUR PENINSULA|SME|2018-09-04 00:00:00|0
SUR PENINSULA|SME|2018-09-05 00:00:00|0
SUR PENINSULA|SME|2018-09-06 00:00:00|0
SUR PENINSULA|SME|2018-09-07 00:00:00|0
SUR PENINSULA|SME|2018-09-08 00:00:00|0
SUR PENINSULA|SME|2018-09-09 00:00:00|0
SUR PENINSULA|SME|2018-09-10 00:00:00|0
SUR PENINSULA|SME|2018-09-11 00:00:00|0
SUR PENINSULA|SME|2018-09-12 00:00:00|0
SUR PENINSULA|SME|2018-09-13 00:00:00|0
SUR PENINSULA|SME|2018-09-14 00:00:00|0
SUR PENINSULA|SME|2018-09-15 00:00:00|0
SUR PENINSULA|SME|2018-09-16 00:00:00|0
SUR PENINSULA|SME|2018-09-17 00:00:00|0
SUR PENINSULA|SME|2018-09-18 00:00:00|0
SUR PENINSULA|SME|2018-09-19 00:00:00|0
SUR PENINSULA|SME|2018-09-20 00:00:00|0
SUR PENINSULA|SME|2018-09-21 00:00:00|0
SUR PENINSULA|SME|2018-09-22 00:00:00|0
SUR PENINSULA|SME|2018-09-23 00:00:00|0
SUR PENINSULA|SME|2018-09-24 00:00:00|0
SUR PENINSULA|SME|2018-09-25 00:00:00|0
SUR PENINSULA|SME|2018-09-26 00:00:00|0
SUR PENINSULA|SME|2018-09-27 00:00:00|0
SUR PENINSULA|SME|2018-09-28 00:00:00|0
SUR PENINSULA|SME|2018-09-29 00:00:00|0
SUR PENINSULA|SME|2018-09-30 00:00:00|0
CENTRO|STORE|2018-09-01 00:00:00|0
CENTRO|STORE|2018-09-02 00:00:00|0
CENTRO|STORE|2018-09-03 00:00:00|0
CENTRO|STORE|2018-09-04 00:00:00|0
CENTRO|STORE|2018-09-05 00:00:00|0
CENTRO|STORE|2018-09-06 00:00:00|0
CENTRO|STORE|2018-09-07 00:00:00|0
CENTRO|STORE|2018-09-08 00:00:00|0
CENTRO|STORE|2018-09-09 00:00:00|0
CENTRO|STORE|2018-09-10 00:00:00|0
CENTRO|STORE|2018-09-11 00:00:00|0
CENTRO|STORE|2018-09-12 00:00:00|0
CENTRO|STORE|2018-09-13 00:00:00|0
CENTRO|STORE|2018-09-14 00:00:00|0
CENTRO|STORE|2018-09-15 00:00:00|0
CENTRO|STORE|2018-09-16 00:00:00|0
CENTRO|STORE|2018-09-17 00:00:00|0
CENTRO|STORE|2018-09-18 00:00:00|0
CENTRO|STORE|2018-09-19 00:00:00|0
CENTRO|STORE|2018-09-20 00:00:00|0
CENTRO|STORE|2018-09-21 00:00:00|0
CENTRO|STORE|2018-09-22 00:00:00|0
CENTRO|STORE|2018-09-23 00:00:00|0
CENTRO|STORE|2018-09-24 00:00:00|0
CENTRO|STORE|2018-09-25 00:00:00|0
CENTRO|STORE|2018-09-26 00:00:00|0
CENTRO|STORE|2018-09-27 00:00:00|0
CENTRO|STORE|2018-09-28 00:00:00|0
CENTRO|STORE|2018-09-29 00:00:00|0
CENTRO|STORE|2018-09-30 00:00:00|0
NOROESTE|STORE|2018-09-01 00:00:00|0
NOROESTE|STORE|2018-09-02 00:00:00|0
NOROESTE|STORE|2018-09-03 00:00:00|0
NOROESTE|STORE|2018-09-04 00:00:00|0
NOROESTE|STORE|2018-09-05 00:00:00|0
NOROESTE|STORE|2018-09-06 00:00:00|0
NOROESTE|STORE|2018-09-07 00:00:00|0
NOROESTE|STORE|2018-09-08 00:00:00|0
NOROESTE|STORE|2018-09-09 00:00:00|0
NOROESTE|STORE|2018-09-10 00:00:00|0
NOROESTE|STORE|2018-09-11 00:00:00|0
NOROESTE|STORE|2018-09-12 00:00:00|0
NOROESTE|STORE|2018-09-13 00:00:00|0
NOROESTE|STORE|2018-09-14 00:00:00|0
NOROESTE|STORE|2018-09-15 00:00:00|0
NOROESTE|STORE|2018-09-16 00:00:00|0
NOROESTE|STORE|2018-09-17 00:00:00|0
NOROESTE|STORE|2018-09-18 00:00:00|0
NOROESTE|STORE|2018-09-19 00:00:00|0
NOROESTE|STORE|2018-09-20 00:00:00|0
NOROESTE|STORE|2018-09-21 00:00:00|0
NOROESTE|STORE|2018-09-22 00:00:00|0
NOROESTE|STORE|2018-09-23 00:00:00|0
NOROESTE|STORE|2018-09-24 00:00:00|0
NOROESTE|STORE|2018-09-25 00:00:00|0
NOROESTE|STORE|2018-09-26 00:00:00|0
NOROESTE|STORE|2018-09-27 00:00:00|0
NOROESTE|STORE|2018-09-28 00:00:00|0
NOROESTE|STORE|2018-09-29 00:00:00|0
NOROESTE|STORE|2018-09-30 00:00:00|0
NORTE|STORE|2018-09-01 00:00:00|0
NORTE|STORE|2018-09-02 00:00:00|0
NORTE|STORE|2018-09-03 00:00:00|0
NORTE|STORE|2018-09-04 00:00:00|0
NORTE|STORE|2018-09-05 00:00:00|0
NORTE|STORE|2018-09-06 00:00:00|0
NORTE|STORE|2018-09-07 00:00:00|0
NORTE|STORE|2018-09-08 00:00:00|0
NORTE|STORE|2018-09-09 00:00:00|0
NORTE|STORE|2018-09-10 00:00:00|0
NORTE|STORE|2018-09-11 00:00:00|0
NORTE|STORE|2018-09-12 00:00:00|0
NORTE|STORE|2018-09-13 00:00:00|0
NORTE|STORE|2018-09-14 00:00:00|0
NORTE|STORE|2018-09-15 00:00:00|0
NORTE|STORE|2018-09-16 00:00:00|0
NORTE|STORE|2018-09-17 00:00:00|0
NORTE|STORE|2018-09-18 00:00:00|0
NORTE|STORE|2018-09-19 00:00:00|0
NORTE|STORE|2018-09-20 00:00:00|0
NORTE|STORE|2018-09-21 00:00:00|0
NORTE|STORE|2018-09-22 00:00:00|0
NORTE|STORE|2018-09-23 00:00:00|0
NORTE|STORE|2018-09-24 00:00:00|0
NORTE|STORE|2018-09-25 00:00:00|0
NORTE|STORE|2018-09-26 00:00:00|0
NORTE|STORE|2018-09-27 00:00:00|0
NORTE|STORE|2018-09-28 00:00:00|0
NORTE|STORE|2018-09-29 00:00:00|0
NORTE|STORE|2018-09-30 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-01 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-02 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-03 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-04 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-05 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-06 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-07 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-08 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-09 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-10 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-11 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-12 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-13 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-14 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-15 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-16 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-17 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-18 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-19 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-20 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-21 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-22 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-23 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-24 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-25 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-26 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-27 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-28 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-29 00:00:00|0
PACIFICO BAJIO|STORE|2018-09-30 00:00:00|0
SUR PENINSULA|STORE|2018-09-01 00:00:00|0
SUR PENINSULA|STORE|2018-09-02 00:00:00|0
SUR PENINSULA|STORE|2018-09-03 00:00:00|0
SUR PENINSULA|STORE|2018-09-04 00:00:00|0
SUR PENINSULA|STORE|2018-09-05 00:00:00|0
SUR PENINSULA|STORE|2018-09-06 00:00:00|0
SUR PENINSULA|STORE|2018-09-07 00:00:00|0
SUR PENINSULA|STORE|2018-09-08 00:00:00|0
SUR PENINSULA|STORE|2018-09-09 00:00:00|0
SUR PENINSULA|STORE|2018-09-10 00:00:00|0
SUR PENINSULA|STORE|2018-09-11 00:00:00|0
SUR PENINSULA|STORE|2018-09-12 00:00:00|0
SUR PENINSULA|STORE|2018-09-13 00:00:00|0
SUR PENINSULA|STORE|2018-09-14 00:00:00|0
SUR PENINSULA|STORE|2018-09-15 00:00:00|0
SUR PENINSULA|STORE|2018-09-16 00:00:00|0
SUR PENINSULA|STORE|2018-09-17 00:00:00|0
SUR PENINSULA|STORE|2018-09-18 00:00:00|0
SUR PENINSULA|STORE|2018-09-19 00:00:00|0
SUR PENINSULA|STORE|2018-09-20 00:00:00|0
SUR PENINSULA|STORE|2018-09-21 00:00:00|0
SUR PENINSULA|STORE|2018-09-22 00:00:00|0
SUR PENINSULA|STORE|2018-09-23 00:00:00|0
SUR PENINSULA|STORE|2018-09-24 00:00:00|0
SUR PENINSULA|STORE|2018-09-25 00:00:00|0
SUR PENINSULA|STORE|2018-09-26 00:00:00|0
SUR PENINSULA|STORE|2018-09-27 00:00:00|0
SUR PENINSULA|STORE|2018-09-28 00:00:00|0
SUR PENINSULA|STORE|2018-09-29 00:00:00|0
SUR PENINSULA|STORE|2018-09-30 00:00:00|0
